month,n_trades,sum_r,pnl_usd,start_balance,end_balance,month_return_pct
2022-01,35,20.03822568513157,3214.1126418759563,10000.0,13214.112641875958,0.3214112641875957
2022-02,29,15.948879085803913,3204.9812845333163,13214.112641875958,16419.093926409274,0.24254230090158502
2022-03,33,58.693176356421084,21652.720064227917,16419.093926409274,29650.26979344604,0.8058408050005181
2022-04,47,24.227412283829135,11609.719701728942,29650.26979344604,41259.989495174974,0.39155528036022025
2022-05,30,25.13948135366069,17845.084128912535,41259.989495174974,59105.07362408748,0.4325033609375821
2022-06,23,1.9582687042682851,1044.1097245315414,59105.07362408748,50999.50928206713,-0.13713821580821184
2022-07,32,33.26785571036928,30755.110154743623,50999.50928206713,81754.61943681075,0.6030471780550641
2022-08,25,9.432906475060785,11322.563089621668,81754.61943681075,93077.18252643241,0.1384944749008712
2022-09,31,10.54303503876756,14632.414915907688,93077.18252643241,90696.5709942582,-0.025576746819749863
2022-10,27,4.262261120411211,4821.592905096656,90696.5709942582,95518.16389935485,0.05316179930773668
2022-11,24,4.20976625999675,5022.674855403905,95518.16389935485,100540.83875475878,0.05258345272105713
2022-12,24,19.115371114276826,31446.908491661423,100540.83875475878,119600.39437077157,0.18957028658278086
2023-01,30,20.587352811490923,39967.813195544615,119600.39437077157,159568.20756631618,0.3341779381733554
2023-02,31,40.95239750885515,124608.20193703893,159568.20756631618,284176.4095033551,0.780908702538706
2023-03,27,41.361694240198155,198438.51689946483,284176.4095033551,373710.5667932054,0.31506541111672814
2023-04,28,21.611297837878794,108056.48918939398,373710.5667932054,481767.0559825993,0.28914485912620047
2023-05,39,17.442140135577866,87210.70067788937,481767.0559825993,568977.7566604887,0.18102254937298845
2023-06,35,4.264331342815067,21321.656714075325,568977.7566604887,525322.7594001564,-0.07672531438936603
2023-07,25,30.53986279262475,152699.31396312374,525322.7594001564,678022.07336328,0.29067713368726755
2023-08,37,18.371933739327815,91859.66869663907,678022.07336328,769881.742059919,0.1354818261903712
2023-09,39,23.211022867549204,116055.114337746,769881.742059919,777752.6272984125,0.010223499023932936
2023-10,31,-11.252700528083809,-56263.50264041903,777752.6272984125,721489.1246579934,-0.07234112835575357
2023-11,31,50.37560714643801,251878.03573219004,721489.1246579934,973367.1603901834,0.3491085688250497
2023-12,26,-1.9005808499783479,-9502.90424989174,973367.1603901834,908030.7674877279,-0.06712409824496735
2024-01,13,2.6198190663229433,13099.095331614713,908030.7674877279,921129.8628193425,0.014425827626806331
2024-02,15,8.99161375091737,44958.06875458686,921129.8628193425,966087.9315739294,0.04880752494222884
2024-03,22,11.390351637684365,56951.75818842181,966087.9315739294,988537.0130799641,0.02323709961831444
2024-04,40,14.404829063943707,72024.14531971853,988537.0130799641,1060561.1583996827,0.07285933087655927
2024-05,30,17.705915791657713,88529.57895828858,1060561.1583996827,1149090.7373579713,0.08347427987262312
2024-06,28,28.14770663653334,140738.5331826667,1149090.7373579713,1199441.5933024362,0.04381799827247179
2024-07,32,-13.397177061635746,-66985.88530817874,1199441.5933024362,1132455.7079942578,-0.055847559132700564
2024-08,38,21.83733780119798,109186.6890059899,1132455.7079942578,1241642.3970002474,0.09641585824082677
2024-09,50,56.8988243277438,284494.121638719,1241642.3970002474,1428128.0410380077,0.15019271610594265
2024-10,49,48.43540516765951,242177.02583829756,1428128.0410380077,1670305.0668763062,0.16957654977650094
2024-11,42,6.34669681085072,31733.48405425361,1670305.0668763062,1702038.5509305606,0.018998615692162213
2024-12,29,15.906142771106039,79530.7138555302,1702038.5509305606,1675536.897661666,-0.015570536433740179
2025-01,39,58.43148764541007,292157.4382270505,1675536.897661666,1967694.335888717,0.17436646046695725
2025-02,38,29.533775061198416,147668.87530599211,1967694.335888717,2115363.21119471,0.07504665364567287
2025-03,32,3.91458669020684,19572.9334510342,2115363.21119471,1997116.3705505203,-0.055899072092402746
2025-04,40,33.12530319398418,165626.5159699209,1997116.3705505203,2162742.886520441,0.08293283176296073
2025-05,31,-3.1857978389094246,-15928.98919454712,2162742.886520441,2146813.897325894,-0.007365179325673266
2025-06,34,43.74205940440513,218710.29702202565,2146813.897325894,2255001.8472087006,0.05039465694607603
2025-07,39,19.997304314141118,99986.52157070558,2255001.8472087006,2354988.368779407,0.04433988455241056
2025-08,37,30.3688139341665,151844.06967083248,2354988.368779407,2506832.438450239,0.06447763041374732
2025-09,30,27.56461627803083,137823.0813901541,2506832.438450239,2527759.4180508857,0.008347977024576902
2025-10,43,36.542032647817145,182710.16323908576,2527759.4180508857,2710469.5812899703,0.07228146869292229
2025-11,37,10.919828888499579,54599.14444249787,2710469.5812899703,2765068.7257324695,0.020143795311111434
2025-12,30,43.105387996545204,215526.93998272606,2765068.7257324695,2844744.7914159023,0.028815220736448932
2026-01,37,-10.33083455623833,-51654.17278119165,2844744.7914159023,2793090.618634712,-0.01815775282797183
2026-02,27,28.929002346945424,144645.0117347271,2793090.618634712,2909838.378683378,0.041798772753650626
