symbol,mfe1_r,lock1_r,total_r,win_pct,max_dd_r,delta_vs_base_r
XRPUSDT,2.0,1.2,211.9290739498694,44.54148471615721,10.217596854000838,-32.60000000000005
XRPUSDT,1.75,1.2,206.7290739498694,48.90829694323144,11.258851415822916,-37.80000000000007
XRPUSDT,1.5,1.2,204.12907394986942,51.09170305676856,7.70972773833892,-40.400000000000034
XRPUSDT,1.25,1.2,199.32907394986938,52.838427947598255,7.70972773833892,-45.200000000000074
XRPUSDT,2.0,1.4,198.9290739498693,44.54148471615721,9.817596854000822,-45.600000000000165
XRPUSDT,2.0,1.0,198.52907394986946,44.54148471615721,10.617596854000826,-46.0
XRPUSDT,1.75,1.4,196.52907394986937,48.90829694323144,9.96132773833897,-48.000000000000085
XRPUSDT,1.5,1.4,195.32907394986938,51.09170305676856,6.812254312853526,-49.200000000000074
XRPUSDT,1.0,1.0,194.52907394986937,55.895196506550214,9.109473397247081,-50.000000000000085
XRPUSDT,1.75,1.6,194.32907394986958,48.90829694323144,8.96132773833893,-50.199999999999875
XRPUSDT,2.0,1.6,193.9290739498696,44.54148471615721,9.688226951088303,-50.59999999999985
XRPUSDT,1.75,1.0,190.52907394986946,48.90829694323144,13.109473397247076,-54.0
XRPUSDT,1.25,1.0,187.52907394986943,52.838427947598255,9.109473397247081,-57.00000000000003
XRPUSDT,1.5,1.0,186.52907394986943,51.09170305676856,9.109473397247081,-58.00000000000003
XRPUSDT,2.0,0.8,185.1290739498695,44.54148471615721,11.01759685400082,-59.39999999999995
XRPUSDT,1.5,0.8,176.1290739498695,51.09170305676856,11.509473397247097,-68.39999999999995
XRPUSDT,1.25,0.8,176.1290739498695,52.838427947598255,11.509473397247097,-68.39999999999995
XRPUSDT,1.75,0.8,174.32907394986952,48.90829694323144,15.109473397247093,-70.19999999999993
XRPUSDT,1.0,0.8,174.3290739498695,55.895196506550214,11.509473397247097,-70.19999999999996
