mfe2_r,lock2_r,total_r,delta_vs_base_r,delta_vs_stage1_r,win_pct,max_dd_r,avg_hold_h
6.5,6.0,206.5291,-38.0,7.2,52.84,7.7097,19.76
5.5,5.0,202.7291,-41.8,3.4,52.84,7.7097,19.51
6.5,5.5,201.5291,-43.0,2.2,52.84,7.7097,19.78
6.0,5.5,200.8291,-43.7,1.5,52.84,7.7097,19.68
6.5,5.0,199.5291,-45.0,0.2,52.84,7.7097,19.82
7.0,6.0,198.9291,-45.6,-0.4,52.84,7.7097,21.45
7.0,5.0,197.9291,-46.6,-1.4,52.84,7.7097,21.74
7.0,5.5,197.9291,-46.6,-1.4,52.84,7.7097,21.71
7.0,6.5,196.4291,-48.1,-2.9,52.84,7.7097,21.42
6.0,5.0,194.3291,-50.2,-5.0,52.84,7.7097,19.7
